MSSubClass,LotFrontage,LotArea,OverallQual,WoodDeckSF,OpenPorchSF,TotalBsmtSF,FloorSF,SalePrice
60,65,8450,7,0,61,856,104678,208500
20,80,9600,6,298,0,1262,91381,181500
60,68,11250,7,0,42,920,112210,223500
70,60,9550,7,0,35,756,70378,140000
60,84,14260,8,192,84,1145,125572.5,250000
50,85,14115,5,40,30,796,71898,143000
20,75,10084,8,255,57,1686,154343,307000
60,NA,10382,7,235,204,1107,100553.5,200000
50,51,6120,7,90,0,952,65426,129900
190,50,7420,5,0,4,991,59495.5,118000
20,70,11200,5,0,0,1040,65270,129500
60,85,11924,9,147,21,1175,173087.5,345000
20,NA,12968,5,140,0,912,72456,144000
20,91,10652,7,160,33,1494,140497,279500
20,NA,10920,6,0,213,1253,79126.5,157000
45,51,6120,7,48,112,832,66416,132000
20,NA,11241,6,0,0,1004,75002,149000
90,72,10791,4,0,0,0,45000,90000
20,66,13695,5,0,102,1114,80057,159000
20,70,7560,5,0,0,1029,70014.5,139000
60,101,14215,8,240,154,1158,163229,325300
45,57,7449,7,0,0,637,70018.5,139400
20,75,9742,8,171,159,1777,115888.5,230000
120,44,4224,5,100,110,1040,65470,129900
20,NA,8246,5,406,90,1060,77530,154000
20,110,14230,8,0,56,1566,128933,256300
20,60,7200,5,222,32,900,67850,134800
20,98,11478,8,0,50,1704,153852,306000
20,47,16321,5,288,258,1484,104492,207500
30,60,6324,4,49,0,520,34510,68500
70,50,8500,4,0,54,649,20324.5,40000
20,NA,8544,5,0,65,1228,75289,149350
20,85,11049,8,0,30,1234,90567,179900
20,70,10552,5,0,38,1398,83449,165500
120,60,7313,9,203,47,1561,139530.5,277500
60,108,13418,8,113,32,1117,155058.5,309000
20,112,10859,5,392,64,1097,73048.5,145000
20,74,8532,5,0,0,1297,77148.5,153000
20,68,7922,5,0,52,1057,55028.5,109000
90,65,6040,4,0,0,0,41000,82000
20,84,8658,6,0,138,1088,80544,160000
20,115,16905,5,0,104,1350,85675,170000
85,NA,9180,5,240,0,840,72420,144000
20,NA,9200,5,145,0,938,65594,130250
20,70,7945,5,0,0,1150,71075,141000
120,61,7658,9,196,82,1752,160826,319900
50,48,12822,7,168,43,1434,120560,239686
20,84,11096,8,0,146,1656,125678,249700
190,33,4456,4,0,0,736,56868,113000
20,66,7742,5,0,0,955,63977.5,127000
60,NA,13869,6,0,75,794,88897,177000
50,52,6240,6,112,0,816,57658,114500
90,110,8472,5,106,0,816,55408,110000
20,68,50271,9,857,72,1842,193421,385000
80,60,7134,5,0,50,384,65192,130000
20,100,10175,6,0,0,1425,90962.5,180500
160,24,2645,8,115,0,970,86735,172500
60,89,11645,7,0,70,860,98680,196500
60,66,13682,10,192,0,1410,220095,438780
20,60,7200,5,196,0,780,62840,124900
20,63,13072,6,0,50,1158,79579,158000
75,60,7200,5,0,0,530,50765,101000
120,44,6442,8,120,49,1370,101935,202500
70,50,10300,7,12,11,576,70288,140000
60,NA,9375,7,576,36,1057,110278.5,219500
60,76,9591,8,192,151,1143,159071.5,317000
20,NA,19900,7,301,0,1947,90973.5,180000
20,72,10665,7,144,29,1453,113726.5,226000
30,47,4608,4,0,0,747,40373.5,80000
50,81,15593,7,0,21,1304,113152,225000
20,95,13651,7,300,0,2223,123111.5,244000
20,69,7599,4,0,0,845,65172.5,129500
60,74,10141,7,0,94,832,92916,185000
20,85,10200,5,0,0,1086,72993,144900
50,60,5790,3,0,0,840,54120,107400
180,21,1596,4,120,101,462,45731,91000
20,NA,8475,4,0,0,952,68351,135750
50,50,8635,5,0,0,672,63836,127000
90,72,10778,4,0,0,1768,69134,136500
50,60,10440,5,74,0,440,55220,110000
60,100,13000,6,0,72,896,97198,193500
120,32,4500,6,0,199,1237,77368.5,153500
20,78,10206,8,144,99,1563,123281.5,245000
20,80,8892,5,74,0,1065,63782.5,126500
80,NA,8530,7,120,72,384,84442,168500
60,121,16059,8,127,82,1288,130644,260000
60,122,11911,6,100,38,684,87342,174000
160,40,3951,6,0,234,612,82556,164500
50,105,8470,3,0,0,1013,43006.5,85000
20,60,8070,4,0,0,990,62295,123600
20,60,7200,4,0,29,0,54950,109900
20,85,8500,5,0,0,1235,49917.5,98600
30,80,13360,5,0,0,876,82188,163500
190,60,7200,6,0,0,1214,67557,133900
60,69,9337,6,0,162,824,102787,204750
60,NA,9765,6,232,63,680,92840,185000
20,78,10264,7,158,29,1588,107794,214000
20,73,10921,4,120,0,960,47855,94750
30,85,10625,5,0,0,458,41729,83000
20,77,9320,4,352,0,950,64950,128950
20,NA,10603,6,168,68,1610,103305,205000
60,77,9206,6,192,46,741,89370.5,178000
90,64,7018,5,0,0,0,59482,118964
20,94,10402,7,0,36,1226,100063,198900
50,NA,7758,7,0,0,1040,85270,169500
60,75,9375,8,140,45,1053,125526.5,250000
30,60,10800,4,0,0,641,50320.5,100000
20,50,6000,5,0,0,789,57894.5,115000
50,85,8500,5,0,0,793,57896.5,115000
20,105,11751,6,0,122,1844,95922,190000
50,75,9525,6,182,0,994,68947,136900
80,NA,7750,7,180,0,384,90192,180000
60,77,9965,7,120,184,1264,192617,383970
20,NA,21000,6,166,120,1809,109404.5,217000
70,61,7259,6,224,0,1028,130264,259500
160,34,3230,6,0,32,729,88364.5,176000
20,NA,11616,5,0,20,1092,70046,139000
20,74,8536,5,80,64,1125,78062.5,155000
